id,Ethnicity,Date of Birth,Account Type,date
478687,White,1999-05-13,Platinum,2023-04-05
858465,Black,1957-07-02,Basic,2023-12-25
460507,White,1945-10-28,Platinum,2023-04-28
609432,Other,2009-05-28,Platinum,2023-04-13
924472,White,1972-06-14,Basic,2023-03-24
979311,White,2010-12-08,Platinum,2023-06-08
177977,Asian,1957-04-02,Basic,2023-05-10
849187,Other,1951-10-27,Platinum,2023-07-08
313159,White,2008-09-23,Platinum,2023-02-27
190312,White,2014-01-21,Gold,2023-11-03
125458,Other,1960-06-23,Basic,2023-03-25
158161,White,2014-10-15,Basic,2023-07-09
900970,Asian,1985-02-27,Basic,2023-10-07
176117,Asian,1966-04-19,Gold,2023-11-28
602470,Black,2018-07-12,Gold,2023-12-22
345349,Black,2013-02-22,Basic,2023-06-26
560261,Black,1949-03-04,Platinum,2023-12-15
742364,Black,1978-09-09,Gold,2023-02-02
451570,Other,1974-04-21,Gold,2023-09-04
993967,Asian,1951-02-23,Platinum,2023-02-15
103488,Other,1957-09-26,Basic,2023-08-28
111501,Black,1999-05-03,Gold,2023-10-12
478020,Black,1987-05-16,Gold,2023-02-27
649104,Other,1946-03-05,Platinum,2023-12-17
606864,Other,1945-10-05,Platinum,2023-02-08
701314,White,1981-03-27,Platinum,2023-10-24
405909,Asian,1979-08-27,Platinum,2023-04-13
174699,Asian,1989-03-13,Gold,2023-12-02
682556,Black,1966-09-30,Gold,2023-10-07
514598,Other,1971-10-10,Platinum,2023-12-28
602662,Other,1958-03-07,Basic,2023-01-09
908478,Asian,1941-10-05,Gold,2023-04-25
397269,Other,2001-06-08,Platinum,2023-05-03
112430,White,1948-12-08,Basic,2023-07-19
669150,Black,1963-10-27,Platinum,2023-12-27
797127,Black,1987-06-26,Platinum,2023-04-19
571041,Other,1947-04-16,Basic,2023-06-07
427577,Asian,1971-01-06,Basic,2023-01-10
753388,Asian,1952-05-16,Platinum,2023-11-06
662171,Black,1943-10-22,Platinum,2023-05-05
124463,Other,1943-05-12,Basic,2023-08-18
223982,White,1956-08-12,Gold,2023-01-04
918799,White,2010-10-22,Gold,2023-06-04
825747,Black,1958-10-07,Basic,2023-08-04
748215,Black,2013-05-01,Gold,2023-04-25
930802,Asian,2018-02-18,Gold,2023-05-14
338686,White,1979-12-17,Gold,2023-06-25
206041,White,2010-10-18,Gold,2023-10-13
933326,Other,2010-10-06,Gold,2023-10-05
832494,White,1964-06-23,Gold,2023-10-16
537959,Black,2017-10-23,Gold,2023-12-12
856901,Other,1941-10-21,Basic,2023-04-02
719232,White,1983-03-06,Platinum,2023-09-17
512509,White,1991-04-16,Gold,2023-05-22
669663,White,1994-06-02,Gold,2023-04-20
731015,Other,1955-12-02,Basic,2023-06-10
679893,Asian,1951-07-02,Basic,2023-12-28
970794,Asian,1969-11-01,Platinum,2023-06-26
314876,Asian,2013-02-13,Basic,2023-09-29
423343,White,1947-07-25,Basic,2023-10-27
128220,Other,1947-03-22,Basic,2023-02-27
181477,Black,1984-08-22,Gold,2023-04-12
514864,Other,1965-02-19,Platinum,2023-04-24
681753,Black,2019-09-01,Basic,2023-07-07
952333,Other,2000-03-05,Gold,2023-11-15
478868,Other,1958-10-27,Gold,2023-08-15
506007,Asian,1979-12-01,Basic,2023-03-23
458285,Other,2018-12-20,Basic,2023-03-27
238622,Asian,1995-10-27,Gold,2023-10-20
150853,Other,1991-07-09,Basic,2023-02-05
220423,Other,1940-05-23,Platinum,2023-07-04
779629,White,1993-06-30,Platinum,2023-04-13
497693,Other,1970-03-14,Platinum,2023-09-19
388013,Black,2018-07-13,Gold,2023-10-27
115026,Asian,1993-02-26,Basic,2023-08-01
176024,Other,1999-12-26,Gold,2023-01-14
805246,Asian,1971-07-20,Gold,2023-04-16
503844,Asian,1981-10-02,Basic,2023-06-25
805034,Asian,1968-01-10,Platinum,2023-03-19
248371,Asian,1979-12-30,Gold,2023-03-01
802490,Other,1970-05-13,Basic,2023-10-27
983346,Asian,1951-08-19,Basic,2023-11-24
296100,Other,1991-10-22,Gold,2023-03-19
528606,Other,2014-12-03,Basic,2023-03-13
867196,Other,1953-06-18,Basic,2023-04-08
890532,White,1988-04-15,Gold,2023-06-16
738405,Asian,1952-10-12,Basic,2023-05-02
829199,Other,1978-01-25,Basic,2023-01-05
964885,Asian,1990-01-05,Basic,2023-07-31
754172,White,2011-07-21,Basic,2023-07-24
307769,White,1981-07-26,Gold,2023-02-16
569923,Other,1975-12-30,Gold,2023-12-04
458440,White,1989-07-21,Gold,2023-06-04
130835,White,1984-06-07,Basic,2023-12-04
650842,Other,1953-06-06,Gold,2023-03-28
492316,Other,1964-05-28,Platinum,2023-06-13
424911,Asian,1947-03-21,Platinum,2023-07-16
187833,Other,1992-04-08,Basic,2023-12-20
940236,White,1957-12-28,Platinum,2023-08-20
740085,Other,2002-10-08,Platinum,2023-09-11
174968,Other,1980-09-30,Platinum,2023-01-10
745654,Other,1996-11-25,Gold,2023-12-08
698848,White,1970-05-08,Platinum,2023-08-28
701108,White,1975-10-29,Basic,2023-11-21
553320,Asian,1952-03-19,Gold,2023-04-13
806648,Other,1986-08-20,Platinum,2023-01-29
850891,Black,1941-04-14,Basic,2023-06-11
213378,Black,1987-07-03,Basic,2023-09-15
871141,Other,1944-02-24,Basic,2023-04-16
589251,White,1943-06-01,Platinum,2023-04-03
261620,Black,1990-07-30,Gold,2023-05-07
485343,Other,1945-06-21,Gold,2023-08-14
326497,Black,2013-04-24,Basic,2023-10-11
466664,Asian,1981-05-14,Basic,2023-07-16
577581,White,1960-06-22,Platinum,2023-10-22
431391,Other,1980-04-25,Basic,2023-02-02
340036,Other,1952-10-16,Gold,2023-08-25
725355,Asian,1975-09-22,Gold,2023-03-19
863243,Other,2007-12-30,Platinum,2023-01-01
199260,Other,1992-01-31,Basic,2023-05-10
527900,Black,1952-10-11,Gold,2023-03-20
549243,Black,1947-06-07,Gold,2023-05-01
312324,White,2016-08-13,Gold,2023-08-28
131879,Other,1952-09-02,Platinum,2023-05-04
793000,Asian,1951-04-29,Basic,2023-02-12
659716,Black,2008-11-09,Platinum,2023-05-27
210727,White,1968-04-06,Platinum,2023-07-25
228463,Other,2011-11-20,Gold,2023-07-19
549892,Asian,1959-07-05,Gold,2023-08-30
890720,White,1967-09-20,Gold,2023-07-07
840464,Asian,1968-07-18,Gold,2023-01-06
202785,Black,1948-09-11,Platinum,2023-06-08
223660,White,1986-10-20,Gold,2023-06-28
119971,Asian,1963-05-21,Basic,2023-10-01
512357,White,2009-11-19,Basic,2023-09-25
704040,Asian,1993-08-01,Basic,2023-12-06
418614,White,2013-11-17,Gold,2023-02-22
489429,Black,2007-11-16,Platinum,2023-07-01
375840,Asian,1963-03-08,Gold,2023-09-17
656037,White,1961-08-17,Platinum,2023-07-11
224213,Other,1992-01-17,Platinum,2023-11-27
664810,Black,1947-07-02,Gold,2023-03-10
774922,Black,2011-08-14,Gold,2023-11-19
413196,White,1974-10-01,Platinum,2023-03-04
899966,White,2015-02-13,Gold,2023-01-05
868733,Asian,1967-02-17,Basic,2023-06-22
700950,Black,1940-06-18,Basic,2023-03-10
146884,Black,1961-05-19,Basic,2023-08-24
900582,Asian,1963-12-09,Gold,2023-08-29
271167,Asian,1944-05-23,Platinum,2023-12-15
656794,Other,1951-10-21,Basic,2023-04-10
423637,Other,1941-01-30,Basic,2023-10-30
229517,Asian,1969-05-26,Platinum,2023-10-20
847929,Asian,1951-10-14,Basic,2023-06-16
615502,Asian,1973-10-01,Basic,2023-09-12
189787,Black,1986-05-12,Basic,2023-01-20
182172,Other,1940-11-11,Basic,2023-10-12
884641,Other,1970-02-20,Basic,2023-02-12
422091,Asian,2001-03-09,Gold,2023-08-20
405774,Asian,1993-08-11,Gold,2023-10-05
712911,Other,1943-06-05,Gold,2023-02-18
683299,Asian,2000-09-12,Basic,2023-06-05
656301,Asian,1994-01-31,Gold,2023-07-07
624601,Other,1991-04-20,Gold,2023-02-18
228495,Other,2006-04-07,Basic,2023-09-08
947646,Asian,1968-04-14,Gold,2023-09-05
850734,White,1968-02-20,Platinum,2023-12-19
633141,White,1943-05-20,Basic,2023-05-30
638662,Black,2008-03-04,Basic,2023-04-05
985783,Asian,1951-03-28,Basic,2023-05-06
913984,White,2008-09-06,Platinum,2023-02-15
791553,White,1982-09-24,Gold,2023-06-28
697830,White,1948-11-14,Gold,2023-11-21
778767,White,1991-06-05,Basic,2023-05-12
279177,White,1967-02-26,Basic,2023-11-07
747682,Black,1985-12-04,Platinum,2023-05-21
226854,White,1988-08-03,Gold,2023-12-07
657908,Asian,1973-08-21,Platinum,2023-12-19
429752,Asian,1945-11-15,Platinum,2023-03-02
723823,White,2005-05-17,Basic,2023-05-31
628497,Asian,2005-10-26,Platinum,2023-06-21
879426,Other,1996-09-28,Gold,2023-07-31
293881,Black,1963-03-10,Basic,2023-10-29
591539,White,1986-11-07,Basic,2023-07-26
620952,White,1979-09-05,Platinum,2023-08-30
489883,Asian,1972-11-21,Basic,2023-07-26
896280,Other,1996-09-24,Basic,2023-08-06
497542,White,2005-05-19,Gold,2023-08-22
970548,Asian,1996-05-09,Platinum,2023-12-12
597131,White,1954-05-17,Gold,2023-05-24
488942,Other,1958-12-02,Basic,2023-05-03
731240,Other,1951-05-08,Gold,2023-04-04
888532,White,2013-01-11,Gold,2023-01-17
391064,Other,1959-09-07,Gold,2023-09-23
142674,Other,1987-09-02,Basic,2023-10-27
219792,Black,2003-04-21,Gold,2023-05-12
873760,White,1980-12-31,Gold,2023-04-26
618265,Black,1945-05-31,Basic,2023-03-03
761978,Asian,1991-11-04,Gold,2023-11-17
894124,Asian,1981-10-20,Gold,2023-08-18
327751,Asian,1984-04-26,Platinum,2023-04-27
748491,Asian,1957-12-07,Platinum,2023-11-20
993112,Asian,1942-10-02,Platinum,2023-06-30
107924,Black,1975-09-02,Gold,2023-08-02
415677,Black,2008-03-31,Basic,2023-03-11
188081,Other,1969-05-29,Basic,2023-02-26
835234,Other,1948-06-04,Basic,2023-03-13
212028,White,2008-02-19,Basic,2023-09-08
720946,White,1984-06-07,Basic,2023-11-26
971397,Other,1970-10-21,Platinum,2023-10-20
893948,White,2013-09-01,Gold,2023-01-01
748205,Asian,2002-06-19,Gold,2023-02-05
714124,Other,1986-12-24,Platinum,2023-03-07
890043,White,2010-05-24,Basic,2023-02-08
892110,Asian,1955-05-27,Gold,2023-09-27
935038,Black,2007-01-24,Platinum,2023-08-28
465769,White,1979-02-10,Platinum,2023-07-14
989180,White,1953-09-18,Gold,2023-03-14
127539,Other,2001-10-02,Platinum,2023-08-27
963473,White,2014-10-01,Platinum,2023-11-13
304982,Other,1979-04-08,Platinum,2023-06-25
768053,White,1998-01-17,Gold,2023-06-14
560440,Asian,1979-05-30,Basic,2023-06-24
523380,Asian,1994-12-23,Platinum,2023-02-21
336329,White,1947-01-23,Platinum,2023-06-28
621556,White,2010-12-12,Basic,2023-06-18
311336,Black,2018-11-12,Platinum,2023-06-22
132163,White,2019-08-19,Basic,2023-03-29
211683,Other,2005-09-04,Basic,2023-07-02
150324,White,2017-06-13,Gold,2023-08-11
784400,Asian,2002-12-10,Gold,2023-11-26
311919,Other,1961-06-26,Gold,2023-01-04
221128,Black,1978-08-16,Basic,2023-06-29
381269,Black,1983-07-15,Gold,2023-11-01
674869,Asian,1991-06-06,Platinum,2023-01-13
884949,Asian,1943-12-03,Gold,2023-05-31
112311,Other,1990-08-11,Gold,2023-05-09
973596,Other,1971-02-22,Platinum,2023-12-16
115702,Black,1977-02-17,Platinum,2023-03-14
285940,Black,2017-06-03,Platinum,2023-04-02
942724,Black,1979-05-23,Platinum,2023-10-09
737345,Other,1971-01-27,Gold,2023-02-14
939708,White,1971-04-01,Basic,2023-09-30
673020,Other,1979-11-30,Platinum,2023-10-04
373223,Asian,1985-11-12,Basic,2023-03-29
168221,Other,2003-02-26,Gold,2023-08-17
139746,Black,1948-02-27,Gold,2023-01-19
932627,Other,1953-12-01,Platinum,2023-12-12
436544,Black,2013-04-10,Basic,2023-02-11
466462,Black,1942-05-08,Platinum,2023-06-19
201146,Black,1976-07-01,Basic,2023-08-17
507932,Asian,2005-08-15,Platinum,2023-10-29
607350,Other,1972-05-12,Gold,2023-12-22
739156,White,1976-10-20,Platinum,2023-07-27
597729,Other,1958-02-07,Basic,2023-07-08
428431,Other,1993-04-27,Basic,2023-12-09
994016,Other,1955-03-29,Platinum,2023-03-29
430823,White,1986-11-22,Gold,2023-02-27
112161,Asian,1967-06-27,Platinum,2023-11-13
127541,Asian,2016-07-13,Gold,2023-05-15
263796,White,1952-02-10,Gold,2023-02-24
535509,Other,2019-09-11,Platinum,2023-03-10
694902,Asian,2001-03-30,Basic,2023-11-21
604893,White,1959-11-10,Platinum,2023-01-04
162027,Other,1992-03-15,Gold,2023-08-08
104185,White,1989-06-08,Basic,2023-04-25
128635,Asian,2012-06-16,Basic,2023-12-12
287844,Other,1952-02-15,Basic,2023-04-08
201221,Black,1941-11-10,Gold,2023-08-06
669652,Other,2009-05-28,Platinum,2023-11-28
410607,Asian,1958-03-08,Gold,2023-11-03
402150,Other,1970-10-14,Platinum,2023-04-19
692114,Asian,1973-09-10,Platinum,2023-08-22
298919,Asian,2008-07-17,Platinum,2023-06-03
217393,Asian,1947-10-29,Platinum,2023-07-24
660162,White,2001-12-02,Platinum,2023-09-16
258885,Black,1943-03-16,Basic,2023-03-12
513032,White,1973-01-12,Basic,2023-03-26
382180,Other,1975-12-14,Platinum,2023-09-16
232108,Asian,2009-01-24,Gold,2023-12-10
994611,Black,1994-06-19,Basic,2023-01-10
614858,Other,1977-03-24,Basic,2023-04-10
500890,White,1958-10-15,Basic,2023-05-12
580145,Asian,2015-11-14,Basic,2023-01-13
236432,White,1957-10-13,Basic,2023-02-20
494955,Other,1985-07-02,Platinum,2023-07-17
848904,White,1962-01-06,Basic,2023-11-14
663205,Black,1981-03-30,Platinum,2023-12-08
829902,Other,1968-04-14,Platinum,2023-02-11
828717,White,1978-10-08,Basic,2023-05-04
497082,Other,1969-01-03,Platinum,2023-05-08
725200,Asian,1952-03-26,Basic,2023-06-23
920547,Asian,1943-12-28,Basic,2023-10-29
276875,Black,1989-08-27,Gold,2023-01-14
346957,Asian,1990-12-29,Platinum,2023-10-14
445531,Black,1963-11-01,Gold,2023-03-25
499282,Other,2019-06-14,Platinum,2023-03-18
534142,Black,1954-11-09,Gold,2023-08-26
642548,Black,2017-06-01,Gold,2023-08-08
378506,Other,1968-07-08,Basic,2023-08-26
801185,Other,1975-03-17,Basic,2023-09-29
345518,Black,1994-12-22,Platinum,2023-11-23
625210,Other,1995-12-23,Gold,2023-09-30
134738,Asian,1992-04-21,Basic,2023-02-04
957074,Other,1964-09-18,Gold,2023-06-28
509391,Other,1947-11-06,Platinum,2023-05-27
765708,Black,1982-06-27,Basic,2023-12-21
675627,Other,1968-08-17,Gold,2023-04-18
806735,Asian,1945-04-15,Platinum,2023-01-11
303669,Black,2016-01-03,Basic,2023-02-18
823045,Black,1990-01-23,Basic,2023-07-12
766091,White,2013-10-24,Basic,2023-07-03
828504,Other,2013-09-21,Basic,2023-02-10
717206,Black,1963-06-19,Platinum,2023-06-21
900910,White,1967-09-21,Gold,2023-02-27
182216,Other,1979-02-13,Platinum,2023-06-11
664103,Black,2014-06-29,Gold,2023-03-23
878515,Other,1989-07-21,Gold,2023-05-07
115578,Black,1961-09-02,Gold,2023-07-29
239999,Black,1988-09-07,Platinum,2023-08-10
824746,Black,1984-11-29,Platinum,2023-11-23
988008,Asian,1971-07-09,Gold,2023-02-06
720947,Other,1997-11-17,Basic,2023-08-19
921939,Other,1963-02-05,Gold,2023-09-29
134047,Black,1959-04-06,Basic,2023-04-08
906366,Asian,2015-05-15,Gold,2023-12-14
385540,White,1943-02-01,Gold,2023-09-30
214055,Asian,1976-12-04,Basic,2023-06-21
939786,Other,1997-06-16,Gold,2023-11-25
450210,Other,2018-08-24,Basic,2023-11-24
716354,Black,1997-12-18,Gold,2023-01-10
698434,Black,1946-12-23,Basic,2023-03-11
221229,White,1965-02-26,Platinum,2023-03-13
560790,Other,2006-05-25,Basic,2023-06-01
721471,Other,1985-08-17,Platinum,2023-01-31
551306,White,2008-02-06,Gold,2023-10-03
587714,White,1952-10-02,Gold,2023-12-01
341542,Black,1984-12-26,Gold,2023-10-03
713519,White,1964-02-25,Gold,2023-06-04
990258,Black,1998-12-03,Gold,2023-07-16
222775,White,1960-11-30,Basic,2023-09-30
166124,Black,1966-05-31,Gold,2023-09-08
119168,Asian,2015-04-15,Basic,2023-12-15
612794,Asian,1981-11-12,Basic,2023-01-29
813986,Other,1979-05-02,Gold,2023-08-20
322646,Asian,1956-02-24,Basic,2023-02-27
814220,Other,1942-04-21,Basic,2023-06-09
522270,Black,1940-11-21,Basic,2023-05-01
637483,White,2009-08-21,Basic,2023-05-31
549509,White,1970-04-13,Gold,2023-04-02
986393,Black,2003-12-14,Basic,2023-09-02
140062,Black,2012-06-07,Platinum,2023-11-22
866947,Other,1949-04-11,Gold,2023-02-02
569494,Black,1976-08-30,Gold,2023-09-01
143337,Other,1980-06-21,Gold,2023-05-17
484119,Other,1974-09-30,Gold,2023-04-08
165263,Other,1970-10-15,Platinum,2023-10-26
366023,Asian,1986-01-01,Basic,2023-05-02
827538,White,1982-12-21,Gold,2023-09-02
894920,White,1979-12-03,Platinum,2023-03-25
593905,Black,1961-12-05,Basic,2023-10-27
548861,Other,1962-05-03,Platinum,2023-03-24
918911,Black,1954-03-05,Gold,2023-11-04
120476,Other,1976-05-27,Platinum,2023-06-18
260096,Black,1955-01-10,Basic,2023-11-20
344685,Asian,1990-01-06,Gold,2023-03-10
557275,Other,1999-09-09,Platinum,2023-08-09
830235,Black,1947-08-15,Gold,2023-03-14
188536,Other,1946-12-25,Basic,2023-09-09
503279,White,1967-04-13,Gold,2023-10-17
942174,White,1984-06-11,Gold,2023-05-10
734567,Black,1976-01-22,Basic,2023-09-06
742071,White,1968-09-22,Platinum,2023-01-19
773841,Other,1990-03-18,Platinum,2023-05-19
667559,Other,1985-05-16,Basic,2023-02-14
459563,Black,1963-03-15,Gold,2023-06-06
747974,Asian,1966-08-14,Gold,2023-02-10
791769,Black,1968-11-02,Gold,2023-11-04
940125,Black,1949-09-22,Gold,2023-10-02
704346,Other,1978-11-04,Gold,2023-07-13
116248,White,2004-02-04,Basic,2023-07-02
220298,Asian,1978-07-05,Gold,2023-11-12
481921,Asian,1970-05-05,Gold,2023-07-19
350315,Black,2014-04-11,Gold,2023-08-31
562722,Asian,2007-08-09,Platinum,2023-10-25
596558,Black,1951-03-22,Gold,2023-01-17
141574,Other,2012-12-18,Platinum,2023-02-09
512023,Black,1957-04-05,Gold,2023-11-16
119237,Other,2012-09-18,Platinum,2023-01-15
494925,Asian,1957-11-29,Platinum,2023-10-17
339084,Asian,1963-10-06,Platinum,2023-06-27
911428,Black,2005-05-04,Gold,2023-08-27
717582,Other,1950-08-05,Basic,2023-08-10
535172,Asian,1964-12-23,Basic,2023-02-18
997703,Other,1998-01-07,Platinum,2023-09-19
496679,Black,1951-10-19,Basic,2023-06-08
875629,Other,1950-06-04,Basic,2023-05-20
397552,Other,1941-10-31,Gold,2023-06-11
951213,Asian,1982-08-29,Basic,2023-08-31
730864,Other,2015-04-26,Gold,2023-05-24
984067,Black,1958-04-09,Basic,2023-04-22
189309,Other,1985-01-29,Platinum,2023-10-24
285733,Black,2000-05-19,Gold,2023-10-16
533119,White,1960-01-25,Platinum,2023-02-17
546645,Asian,1971-09-06,Gold,2023-05-24
926550,Asian,1942-10-31,Basic,2023-12-06
978930,Asian,2016-03-27,Basic,2023-02-25
633342,Asian,1972-03-25,Basic,2023-02-08
970285,Other,1988-08-21,Basic,2023-08-04
603071,Other,1969-05-07,Basic,2023-06-25
129983,Asian,2001-04-12,Basic,2023-11-07
159759,Black,1993-04-29,Gold,2023-09-29
801415,Asian,2010-07-07,Gold,2023-12-02
804513,Asian,1974-05-12,Gold,2023-02-25
203942,Asian,2016-08-27,Gold,2023-12-28
547679,White,1949-02-07,Basic,2023-01-11
982613,White,1949-05-29,Platinum,2023-08-23
792923,White,1958-10-16,Basic,2023-07-25
527503,White,1967-01-08,Gold,2023-08-15
372488,Other,1974-07-13,Basic,2023-04-20
938419,White,2003-10-04,Basic,2023-08-17
859391,Black,1999-04-11,Platinum,2023-03-15
451936,Asian,1958-10-22,Basic,2023-06-10
647719,Black,2000-07-20,Gold,2023-08-01
639158,White,1989-09-29,Platinum,2023-10-28
520059,Asian,1942-01-26,Gold,2023-05-02
